time;T1;T2;T3;Ttop
0.00000;20.85000;20.85000;20.85000;56.20000
160.00000;25.02704;20.90207;20.85371;50.49000
320.00000;29.31785;21.54413;21.00905;48.76000
480.00000;31.98616;22.66344;21.48383;47.70000
640.00000;33.81053;23.88236;22.17265;47.80000
800.00000;35.15320;25.04747;22.95093;47.97000
960.00000;36.19325;26.11414;23.74539;48.00000
1120.00000;37.02924;27.07690;24.51935;47.99000
1280.00000;37.72011;27.94315;25.25622;48.81000
1440.00000;38.30344;28.72377;25.94973;48.30000
1600.00000;38.80452;29.42968;26.59886;48.81000
1760.00000;39.24101;30.07070;27.20509;48.81000
2000.00000;39.80169;30.92891;28.03981;48.81000
2160.00000;40.12575;31.44234;28.55100;49.01000
2320.00000;40.41770;31.91557;29.02948;49.09000
2480.00000;40.68250;32.35336;29.47815;49.40000
2640.00000;40.92414;32.75979;29.89959;49.62000
2800.00000;41.14580;33.13836;30.29623;49.15000
2960.00000;41.35008;33.49200;30.67022;50.02000
3120.00000;41.53915;33.82328;31.02349;50.02000
3280.00000;41.71480;34.13445;31.35777;49.84000
3440.00000;41.87855;34.42739;31.67460;50.11000
3600.00000;42.03170;34.70383;31.97542;49.70000
3760.00000;42.17531;34.96521;32.26145;49.67000
4000.00000;42.37494;35.33186;32.66521;50.07000
