x;y
0.00;21.5000
120.00;21.5000
240.00;21.5000
360.00;21.5009
480.00;21.5043
600.00;21.5126
720.00;21.5284
840.00;21.5538
960.00;21.5898
1080.00;21.6369
1200.00;21.6955
1320.00;21.7650
1440.00;21.8449
1560.00;21.9344
1680.00;22.0328
1800.00;22.1392
1920.00;22.2530
2040.00;22.3733
2160.00;22.4993
2280.00;22.6305
2400.00;22.7662
2520.00;22.9059
2640.00;23.0490
2760.00;23.1949
2880.00;23.3432
3000.00;23.4934
3120.00;23.6453
3240.00;23.7982
3360.00;23.9519
3480.00;24.1061
3600.00;24.2606
3720.00;24.4151
3840.00;24.5694
3960.00;24.7233
4080.00;24.8765
4200.00;25.0291
4320.00;25.1805
4440.00;25.3307
4560.00;25.4794
4680.00;25.6261
4800.00;25.7709
4920.00;25.9134
5040.00;26.0535
5160.00;26.1913
5280.00;26.3265
5400.00;26.4594
5520.00;26.5897
5640.00;26.7178
5760.00;26.8436
5880.00;26.9673
6000.00;27.0889
6120.00;27.2085
6240.00;27.3262
6360.00;27.4420
6480.00;27.5562
6600.00;27.6687
6720.00;27.7795
6840.00;27.8888
6960.00;27.9965
